login_hour,login_frequency,device_change,location_change,resource_access_count,vip_access,transaction_count,download_volume,api_frequency,role_violation_count,session_duration,is_anomaly
14,4,0,0,23,0,14,421981,5.48,0,178,0
10,4,0,0,5,0,12,140111,6.61,0,346,0
16,3,0,0,7,0,15,492753,1.74,0,253,0
15,1,0,0,17,0,11,441016,3.38,0,200,0
11,1,0,0,21,0,5,328189,4.57,0,427,0
14,3,0,0,28,0,6,173872,1.72,0,161,0
12,2,0,0,24,0,6,448571,6.31,0,68,0
11,4,0,0,19,0,20,448394,5.06,0,378,0
14,3,0,0,9,0,16,85801,4.28,0,353,0
13,3,0,0,23,0,3,234519,4.55,0,188,0
16,4,0,0,6,0,3,243324,6.82,0,69,0
10,4,0,0,19,0,20,340621,7.68,0,408,0
9,4,0,0,30,0,20,391750,2.32,0,339,0
16,2,0,0,6,0,16,104264,6.68,0,458,0
14,1,0,0,21,0,7,70521,2.73,0,254,0
16,2,0,0,16,0,13,198317,3.71,0,426,0
14,1,0,0,30,0,12,84556,3.31,0,315,0
15,3,0,0,13,0,6,224777,1.57,0,369,0
11,3,0,0,14,0,14,117607,5.17,0,73,0
13,4,0,0,25,0,12,476343,1.89,0,389,0
17,1,0,0,25,0,15,316594,3.53,0,215,0
13,2,0,0,11,0,12,451686,4.4,0,145,0
11,2,0,0,7,0,11,492723,6.52,0,289,0
17,1,0,0,26,0,12,451765,5.33,0,335,0
15,2,0,0,10,0,7,485864,5.85,0,349,0
11,4,0,0,6,0,15,240997,5.73,0,151,0
16,3,0,0,29,0,16,172684,4.74,0,188,0
16,2,0,0,16,0,20,280999,4.23,0,174,0
15,4,0,0,10,0,8,470090,5.23,0,476,0
13,1,0,0,25,0,17,244622,4.88,0,82,0
17,1,0,0,14,0,4,450092,2.12,0,260,0
17,2,0,0,18,0,4,166411,6.72,0,208,0
9,4,0,0,6,0,14,313196,3.62,0,227,0
10,3,0,0,12,0,2,217082,7.52,0,459,0
14,2,0,0,9,0,3,200407,7.42,0,271,0
11,4,0,0,19,0,2,91537,1.13,0,140,0
11,4,0,0,8,0,11,174591,3.11,0,54,0
12,4,0,0,25,0,16,82929,1.78,0,285,0
17,1,0,0,25,0,18,351490,2.69,0,103,0
13,4,0,0,5,0,13,176124,4.99,0,125,0
10,3,0,0,7,0,18,335255,4.55,0,289,0
17,1,0,0,17,0,17,72824,5.45,0,221,0
13,1,0,0,16,0,4,230775,2.69,0,366,0
10,3,0,0,9,0,3,234706,4.82,0,446,0
11,4,0,0,27,0,17,381211,2.28,0,99,0
10,4,0,0,6,0,11,155691,1.31,0,132,0
9,3,0,0,14,0,18,258784,7.92,0,308,0
16,3,0,0,6,0,8,200004,3.5,0,429,0
9,3,0,0,13,0,5,469085,3.58,0,234,0
16,4,0,0,15,0,7,310153,5.84,0,218,0
17,3,0,0,30,0,4,431200,3.97,0,250,0
11,3,0,0,15,0,5,91979,3.3,0,181,0
13,4,0,0,24,0,15,137369,5.83,0,209,0
16,1,0,0,28,0,13,372359,7.99,0,170,0
9,1,0,0,26,0,14,240479,4.59,0,413,0
11,1,0,0,9,0,16,68244,1.88,0,150,0
14,3,0,0,17,0,20,66979,5.24,0,377,0
16,3,0,0,16,0,16,450076,1.54,0,100,0
17,3,0,0,17,0,12,390556,2.95,0,88,0
9,2,0,0,20,0,18,252892,7.39,0,90,0
13,3,0,0,27,0,16,162496,7.97,0,176,0
16,2,0,0,8,0,6,497126,1.52,0,118,0
16,1,0,0,30,0,12,400140,3.43,0,63,0
17,3,0,0,14,0,7,423192,5.97,0,388,0
11,3,0,0,21,0,9,113628,7.9,0,435,0
11,2,0,0,30,0,17,63780,3.53,0,323,0
14,4,0,0,30,0,19,118037,5.28,0,74,0
10,3,0,0,17,0,17,325615,3.88,0,239,0
10,2,0,0,15,0,4,285916,4.26,0,294,0
14,2,0,0,29,0,19,385436,5.11,0,423,0
11,4,0,0,21,0,3,485888,1.87,0,108,0
13,2,0,0,10,0,12,421894,2.58,0,295,0
13,1,0,0,13,0,8,382952,7.69,0,170,0
11,3,0,0,24,0,19,98983,4.52,0,116,0
11,2,0,0,26,0,12,491728,7.47,0,51,0
9,1,0,0,6,0,20,188755,5.56,0,422,0
15,1,0,0,20,0,19,201871,5.49,0,184,0
16,2,0,0,30,0,14,205941,4.17,0,382,0
9,2,0,0,19,0,15,303887,4.25,0,204,0
11,3,0,0,27,0,12,434932,7.92,0,206,0
15,2,0,0,29,0,13,319997,4.93,0,193,0
12,4,0,0,8,0,10,285717,2.74,0,79,0
9,3,0,0,17,0,15,180165,7.74,0,111,0
14,3,0,0,11,0,7,311234,7.97,0,269,0
16,3,0,0,20,0,2,97211,7.62,0,288,0
16,2,0,0,11,0,20,235018,1.34,0,174,0
16,4,0,0,14,0,19,54287,6.93,0,250,0
11,3,0,0,28,0,13,450480,3.82,0,53,0
15,1,0,0,23,0,19,152055,3.54,0,177,0
10,4,0,0,21,0,16,450767,4.85,0,452,0
10,2,0,0,8,0,14,245663,6.56,0,203,0
17,3,0,0,29,0,6,154363,5.22,0,235,0
17,1,0,0,6,0,3,121846,6.0,0,441,0
16,4,0,0,9,0,18,123285,3.3,0,343,0
14,2,0,0,17,0,11,361282,3.35,0,454,0
17,4,0,0,27,0,20,207176,4.32,0,38,0
14,3,0,0,26,0,5,268387,5.09,0,437,0
9,4,0,0,13,0,20,352846,2.59,0,56,0
16,2,0,0,21,0,14,127477,6.75,0,154,0
9,1,0,0,11,0,2,281231,3.2,0,107,0
15,2,0,0,18,0,18,456308,5.28,0,271,0
9,2,0,0,21,0,8,344066,3.28,0,369,0
16,4,0,0,15,0,7,290996,7.38,0,205,0
17,3,0,0,26,0,10,369855,4.39,0,156,0
13,3,0,0,12,0,11,454317,3.02,0,136,0
16,3,0,0,20,0,13,343856,7.54,0,437,0
13,3,0,0,8,0,20,404744,4.8,0,232,0
14,2,0,0,14,0,3,200801,7.69,0,70,0
14,4,0,0,25,0,10,441820,4.35,0,133,0
17,3,0,0,22,0,10,121970,1.76,0,409,0
12,2,0,0,6,0,18,168316,5.47,0,56,0
10,4,0,0,15,0,17,102714,5.77,0,100,0
9,2,0,0,18,0,17,300320,5.55,0,417,0
13,3,0,0,14,0,3,453033,1.63,0,323,0
12,1,0,0,10,0,15,489146,2.23,0,48,0
15,4,0,0,10,0,11,69643,1.06,0,320,0
10,3,0,0,14,0,16,386232,4.8,0,282,0
11,4,0,0,13,0,8,474051,1.79,0,113,0
16,3,0,0,27,0,7,57384,6.16,0,434,0
13,2,0,0,10,0,14,483580,3.99,0,197,0
10,4,0,0,26,0,5,146878,7.87,0,274,0
14,2,0,0,5,0,10,251103,2.65,0,415,0
13,3,0,0,14,0,20,428998,5.01,0,163,0
14,2,0,0,6,0,5,294001,3.15,0,237,0
17,3,0,0,27,0,5,384868,7.41,0,181,0
14,2,0,0,12,0,6,300705,2.07,0,412,0
14,4,0,0,27,0,19,296849,6.3,0,440,0
12,2,0,0,26,0,4,325516,4.13,0,390,0
14,1,0,0,23,0,5,82379,6.8,0,288,0
12,2,0,0,10,0,12,497996,4.64,0,89,0
12,4,0,0,7,0,18,283561,6.66,0,262,0
11,4,0,0,19,0,20,80270,4.91,0,374,0
13,1,0,0,17,0,10,478056,1.02,0,141,0
10,1,0,0,18,0,13,417203,1.45,0,60,0
10,4,0,0,6,0,11,264364,2.26,0,99,0
15,3,0,0,17,0,16,247916,3.63,0,379,0
17,2,0,0,25,0,13,112197,2.25,0,305,0
15,2,0,0,28,0,9,487686,1.02,0,41,0
13,4,0,0,26,0,19,272365,4.72,0,451,0
12,2,0,0,19,0,13,131328,2.93,0,478,0
10,1,0,0,30,0,15,372396,6.36,0,38,0
12,2,0,0,7,0,5,361397,1.24,0,336,0
9,2,0,0,28,0,3,260902,4.07,0,306,0
12,1,0,0,9,0,18,201657,2.64,0,404,0
14,3,0,0,12,0,11,125109,7.9,0,296,0
12,4,0,0,14,0,10,81959,4.9,0,332,0
11,4,0,0,22,0,17,74580,7.81,0,359,0
15,3,0,0,27,0,15,264045,2.04,0,222,0
11,4,0,0,12,0,9,207672,7.0,0,103,0
16,1,0,0,22,0,15,268370,4.9,0,98,0
15,2,0,0,13,0,8,223152,5.53,0,260,0
14,1,0,0,22,0,8,77020,2.88,0,374,0
9,1,0,0,11,0,20,429744,5.7,0,141,0
16,2,0,0,15,0,11,58039,2.48,0,127,0
10,4,0,0,12,0,8,257949,7.41,0,312,0
14,3,0,0,17,0,16,329786,5.54,0,187,0
13,3,0,0,21,0,17,294320,1.69,0,399,0
16,3,0,0,11,0,13,214061,3.9,0,318,0
12,2,0,0,5,0,10,340094,7.54,0,326,0
15,3,0,0,9,0,8,222944,2.61,0,321,0
12,4,0,0,22,0,12,184913,6.34,0,280,0
16,4,0,0,10,0,13,138743,1.98,0,309,0
16,2,0,0,22,0,3,324697,1.24,0,463,0
10,1,0,0,29,0,2,266212,1.96,0,352,0
12,1,0,0,27,0,6,54792,2.53,0,263,0
14,1,0,0,24,0,17,395654,4.41,0,33,0
17,4,0,0,5,0,2,327567,6.06,0,304,0
13,1,0,0,21,0,15,472664,7.58,0,121,0
10,1,0,0,21,0,6,176337,2.34,0,299,0
13,3,0,0,13,0,14,91428,3.61,0,237,0
16,2,0,0,27,0,9,207273,5.79,0,464,0
10,1,0,0,7,0,14,248843,3.64,0,273,0
9,1,0,0,27,0,7,93351,4.5,0,252,0
14,1,0,0,21,0,3,170463,2.48,0,474,0
16,3,0,0,6,0,4,408837,7.48,0,308,0
9,2,0,0,15,0,2,158610,5.11,0,415,0
15,1,0,0,14,0,7,345676,2.68,0,457,0
15,3,0,0,17,0,6,464448,7.92,0,400,0
10,3,0,0,6,0,5,279160,2.63,0,68,0
14,4,0,0,29,0,12,65532,5.44,0,431,0
16,4,0,0,12,0,13,339951,7.59,0,251,0
11,4,0,0,7,0,11,468410,2.73,0,67,0
10,3,0,0,9,0,14,423123,6.49,0,108,0
15,3,0,0,16,0,5,97983,1.04,0,187,0
16,3,0,0,29,0,10,103598,1.93,0,125,0
15,4,0,0,22,0,19,318666,3.86,0,43,0
10,3,0,0,22,0,4,362960,5.19,0,196,0
15,1,0,0,14,0,15,253318,6.45,0,401,0
17,2,0,0,23,0,18,138910,5.8,0,116,0
11,3,0,0,14,0,10,308538,2.02,0,115,0
15,3,0,0,18,0,11,303876,6.48,0,214,0
13,2,0,0,28,0,17,361325,5.32,0,264,0
10,2,0,0,14,0,2,257456,3.33,0,347,0
15,3,0,0,19,0,12,275766,6.71,0,470,0
11,3,0,0,15,0,8,301139,3.2,0,233,0
14,3,0,0,28,0,17,351926,6.47,0,196,0
15,3,0,0,30,0,14,241373,1.8,0,318,0
12,2,0,0,26,0,19,64111,7.67,0,266,0
12,4,0,0,30,0,11,485831,5.85,0,449,0
15,4,0,0,9,0,11,176888,2.77,0,108,0
15,4,0,0,7,0,16,363489,4.35,0,235,0
17,4,0,0,22,0,3,464565,7.78,0,389,0
17,1,0,0,8,0,9,394772,5.65,0,115,0
9,4,0,0,29,0,12,467454,4.01,0,35,0
10,3,0,0,12,0,18,441566,4.63,0,327,0
12,4,0,0,16,0,14,292778,6.41,0,331,0
17,2,0,0,16,0,2,303111,1.73,0,242,0
10,1,0,0,28,0,6,232624,3.18,0,263,0
12,4,0,0,16,0,17,101182,4.07,0,386,0
16,3,0,0,7,0,11,73426,6.67,0,88,0
9,3,0,0,25,0,5,405016,6.6,0,409,0
12,2,0,0,22,0,7,223533,4.92,0,266,0
12,4,0,0,25,0,7,147720,5.48,0,251,0
15,1,0,0,28,0,8,285706,5.15,0,229,0
9,2,0,0,11,0,10,444435,5.93,0,437,0
10,1,0,0,30,0,19,148020,3.56,0,130,0
16,1,0,0,13,0,17,326674,7.76,0,190,0
15,4,0,0,23,0,5,232412,3.46,0,264,0
11,3,0,0,24,0,20,94434,5.7,0,190,0
10,2,0,0,14,0,5,145968,3.61,0,102,0
17,4,0,0,18,0,6,351363,3.69,0,125,0
16,2,0,0,22,0,7,306713,3.02,0,125,0
14,4,0,0,24,0,3,238239,7.66,0,278,0
11,2,0,0,17,0,19,314995,5.57,0,239,0
16,4,0,0,27,0,16,306219,2.17,0,319,0
9,2,0,0,14,0,3,194102,2.57,0,177,0
11,4,0,0,23,0,17,338214,4.58,0,323,0
10,3,0,0,29,0,19,481637,7.94,0,307,0
9,4,0,0,22,0,8,272903,1.72,0,454,0
12,3,0,0,6,0,16,187790,3.44,0,448,0
10,4,0,0,8,0,9,160036,6.67,0,331,0
14,4,0,0,10,0,6,461487,2.45,0,135,0
9,3,0,0,22,0,10,362925,4.77,0,195,0
13,3,0,0,23,0,10,499847,4.6,0,377,0
10,2,0,0,29,0,15,81082,7.95,0,473,0
11,2,0,0,12,0,6,422975,3.25,0,156,0
15,4,0,0,9,0,20,381560,2.88,0,242,0
15,4,0,0,7,0,4,261209,4.61,0,172,0
14,4,0,0,20,0,12,355112,1.02,0,426,0
10,4,0,0,25,0,13,495700,1.44,0,303,0
15,2,0,0,18,0,8,309373,2.88,0,454,0
13,3,0,0,22,0,20,118468,4.96,0,278,0
14,1,0,0,6,0,5,378298,6.49,0,265,0
9,1,0,0,10,0,16,289346,1.0,0,249,0
12,2,0,0,25,0,11,133349,7.12,0,478,0
13,1,0,0,25,0,13,181276,1.58,0,370,0
11,1,0,0,17,0,11,430626,5.9,0,149,0
15,1,0,0,27,0,5,50569,2.49,0,69,0
11,2,0,0,21,0,16,54869,1.06,0,205,0
10,4,0,0,27,0,6,300452,1.5,0,226,0
10,1,0,0,8,0,12,242708,7.17,0,100,0
15,2,0,0,25,0,6,85867,4.71,0,34,0
11,4,0,0,16,0,8,379294,6.24,0,240,0
16,2,0,0,7,0,5,123407,6.27,0,331,0
15,3,0,0,18,0,12,464752,1.98,0,171,0
10,2,0,0,22,0,11,458404,7.59,0,43,0
13,2,0,0,21,0,18,148905,6.23,0,181,0
9,2,0,0,20,0,14,109110,2.69,0,356,0
10,1,0,0,16,0,12,119197,3.71,0,459,0
15,3,0,0,22,0,7,449888,4.3,0,424,0
10,1,0,0,23,0,4,57231,2.84,0,50,0
9,4,0,0,21,0,11,379552,5.99,0,422,0
15,4,0,0,27,0,14,93215,5.48,0,305,0
11,3,0,0,7,0,11,91430,4.58,0,134,0
11,3,0,0,17,0,20,382552,6.34,0,362,0
10,3,0,0,27,0,15,432708,7.67,0,152,0
9,2,0,0,7,0,15,110810,4.17,0,341,0
9,3,0,0,26,0,7,112622,1.09,0,100,0
9,2,0,0,20,0,13,324205,4.62,0,451,0
13,2,0,0,16,0,6,443098,6.47,0,167,0
10,1,0,0,15,0,15,192596,4.67,0,164,0
10,4,0,0,19,0,18,238808,1.39,0,469,0
11,3,0,0,10,0,10,455447,1.72,0,323,0
10,2,0,0,28,0,18,51346,1.31,0,471,0
9,2,0,0,6,0,17,240828,3.68,0,106,0
11,1,0,0,22,0,15,167710,3.25,0,243,0
14,3,0,0,7,0,20,245458,1.84,0,374,0
9,2,0,0,12,0,18,74079,7.68,0,65,0
16,3,0,0,29,0,11,221599,1.6,0,263,0
9,3,0,0,11,0,11,345597,6.49,0,408,0
12,4,0,0,16,0,20,308663,7.98,0,427,0
12,2,0,0,9,0,2,264977,1.17,0,307,0
14,1,0,0,15,0,2,447897,5.6,0,464,0
13,1,0,0,11,0,18,174868,3.94,0,60,0
11,3,0,0,7,0,3,171358,7.28,0,296,0
15,3,0,0,19,0,4,354491,1.67,0,98,0
15,1,0,0,23,0,20,82654,4.04,0,96,0
12,3,0,0,13,0,12,469858,3.75,0,455,0
14,3,0,0,19,0,10,172479,1.52,0,133,0
11,1,0,0,9,0,5,136179,4.15,0,190,0
15,1,0,0,22,0,13,453878,2.45,0,187,0
16,3,0,0,8,0,4,132635,6.65,0,185,0
9,2,0,0,15,0,6,97821,5.98,0,212,0
15,1,0,0,26,0,11,186402,6.74,0,119,0
9,4,0,0,19,0,19,442208,4.85,0,78,0
16,1,0,0,30,0,6,113676,1.08,0,455,0
12,2,0,0,11,0,14,245160,5.8,0,360,0
10,3,0,0,7,0,2,83801,2.38,0,360,0
